"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"GTLINFRA","3.20","3.27","2.96","3.12","2.96","-5.13","1,04,22,72,779","3,29,35,81,981.64","21-Sep-2015"
"IDEA","15.42","16.14","15.40","15.18","15.98","5.27","74,66,10,397","11,84,12,40,896.42","07-Jul-2023"
"HCC","53.65","57.50","53.01","53.34","55.34","3.75","12,26,02,666","6,81,30,30,149.62","15-Mar-2024"
"YESBANK","24.67","25.11","24.65","24.62","24.94","1.30","12,08,94,253","3,01,14,75,842.23","03-Jun-2019"
"SJVN","156.53","159.65","147.50","141.04","148.00","4.93","10,52,99,846","16,13,93,07,396.42","21-Feb-2024"
"MMTC","128.50","131.80","105.10","120.91","106.85","-11.63","10,49,30,531","11,87,91,85,414.51","15-Nov-2023"
"SANSTAR","109.00","128.79","107.10","95.00","115.19","5.68","8,96,82,149","10,53,22,71,578.56",
"IDBI","101.15","106.60","98.46","101.46","104.30","2.80","8,72,54,681","8,95,05,85,176.98","16-Jul-2024"
"IFCI","85.70","89.40","81.65","84.79","83.36","-1.69","8,14,35,966","6,90,98,41,715.10","13-Dec-2023"
"NHPC","103.50","107.40","103.50","101.96","104.55","2.54","7,41,50,250","7,81,91,43,862.50","22-Feb-2024"
"RTNPOWER","17.65","17.65","16.71","16.81","16.86","0.30","7,19,59,926","1,24,13,08,723.50","22-Sep-2023"
"INFIBEAM","28.70","32.28","28.70","28.68","31.47","9.73","6,93,85,552","2,17,94,00,188.32","18-Sep-2023"
"SUZLON","62.68","63.00","61.00","61.47","62.10","1.02","6,78,58,407","4,21,94,35,747.26","20-Sep-2023"
"JPPOWER","19.01","19.77","18.80","18.83","19.67","4.46","6,61,05,991","1,28,64,22,584.86","22-Sep-2023"
"RPOWER","30.48","30.58","29.40","29.69","29.69","-","5,54,92,192","1,66,19,91,150.40","12-Sep-2018"
"CANBK","112.49","114.40","111.00","111.89","113.84","1.74","5,42,79,930","6,10,97,48,920.80","14-Jun-2024"
"IRFC","184.75","187.90","182.80","183.56","183.65","0.05","5,05,38,191","9,34,70,38,425.45","10-Nov-2023"
"IDFCFIRSTB","73.51","74.94","72.40","74.66","74.58","-0.11","4,88,15,501","3,60,84,41,833.92","23-Jul-2018"
"TTML","108.00","109.85","100.30","106.07","102.80","-3.08","4,77,95,541","5,03,95,61,843.04","11-Jul-2019"
"ASHOKLEY","235.10","248.89","235.10","232.43","246.50","6.05","4,58,04,874","11,22,40,26,324.96","03-Apr-2024"
